,Sl No,Date,Conc of N,Ca,Mg,Na,K,B,CO_3,HCO_3,SO_4,Cl,NO3_N,P,pH,Conductivity,Hardness_grains of CACO_3,Hardness_ppm,Alkalinity,TDS,SAR,Fe,Zn,Mn,CB
0,1.0,2022-04-29 00:00:00,100.0,74.0,23.0,14.0,179.0,0.2,0.0,8.0,215.0,0.7,84.91,18.98,4.82,1319.0,16.0,278.0,6.0,617.0,0.4,0.02,0.04,0.17,101.0
1,1.5,Date,100,98.5,27.0,11.5,186.5,0.275,0.0,8.0,260.0,2.8499999999999996,84.28999999999999,18.34,5.25,1334.5,20.5,357.0,6.5,697.0,0.30000000000000004,0.0125,0.05,0.22500000000000003,106.5
2,2.0,2022-05-02 00:00:00,100.0,123.0,31.0,9.0,194.0,0.35,0.0,8.0,305.0,5.0,83.67,17.7,5.68,1350.0,25.0,436.0,7.0,777.0,0.2,0.005,0.06,0.28,112.0
3,2.5,Date,100,121.0,31.0,6.0,177.5,0.32999999999999996,0.0,5.0,302.0,4.0,75.32,16.865000000000002,5.0600000000000005,1301.5,25.0,430.5,4.5,740.0,0.15000000000000002,0.005,0.05,0.27,113.5
4,3.0,2022-05-06 00:00:00,100.0,119.0,31.0,3.0,161.0,0.31,0.0,2.0,299.0,3.0,66.97,16.03,4.44,1253.0,25.0,425.0,2.0,703.0,0.1,0.005,0.04,0.26,115.0
5,3.5,Date,100,140.0,35.0,3.0,119.0,0.37,0.0,1.0,381.0,1.85,63.76,12.57,4.19,1258.0,29.0,494.5,1.0,759.0,0.1,0.005,0.05500000000000001,0.275,105.5
6,4.0,2022-05-16 00:00:00,100.0,161.0,39.0,3.0,77.0,0.43,0.0,0.0,463.0,0.7,60.55,9.11,3.94,1263.0,33.0,564.0,0.0,815.0,0.1,0.005,0.07,0.29,96.0
7,4.5,Date,100,156.5,39.5,3.0,90.5,0.39,0.0,0.0,437.5,0.7,68.625,12.23,3.885,1324.0,32.5,553.0,0.0,809.0,0.05,0.005,0.045000000000000005,0.26,96.5
8,5.0,2022-05-18 00:00:00,100.0,152.0,40.0,3.0,104.0,0.35,0.0,0.0,412.0,0.7,76.7,15.35,3.83,1385.0,32.0,542.0,0.0,803.0,0.0,0.005,0.02,0.23,97.0
9,6.0,2022-04-29 00:00:00,175.0,74.0,24.0,14.0,193.0,0.18,0.0,7.0,335.0,5.0,75.41,14.65,4.78,1618.0,17.0,284.0,5.0,741.0,0.3,0.005,0.05,0.17,89.0
